song,artist,popularity
Shela,Sam Deep,67
Lutho (feat. De Rose),Dj Jaivane,62
"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",DJ Maphorisa,67
Amanxeba,Sami'Kay,67
MAMAZALA,DJ Stoks,35
It's a Party,HorizonLeap,28
"Malacosta (feat. Vulela Maweekend, Mark Khoza & Angekebabuye Mc)",Mluusician,59
Abangifuni,Romeo Makota,1
Ubumnandi,HorizonLeap,26
Ngisakuthanda,Zee Nxumalo,62
Ukuphumula (feat. Tracy & Thatohatsi),DJ Maphorisa,48
Izimangaliso (feat. Khanyisa),Yumbs,52
Bana Ba Straata,Da Mabusa,34
Bo Gogo (feat. Tracy & Thatohatsi),Kelvin Momo,57
Mdali (feat. Ratex),Dj Jaivane,27
Emagcekeni,Shazmicsoul,27
Molo (feat. Mr Maker & Smash SA),Kelvin Momo,46
Abaphantsi 2.0 (feat. 1st Lady K),Makhates Groove,32
uMama Wami,DJ Stokie,32
Moonlight,Kelvin Momo,34
Umusa,Nobuhle,49
Mkhuzeni (feat. Da Muziqal Chef),Kelvin Momo,52
"ZENZELE (feat. Royal MusiQ, Uncool MC, Xduppy, & CowBoii)",Uncle Waffles,65
"Manzi Nte (feat. Masterpiece YVK, Ceeka RSA, M.J, Silas Africa & Al Xapo)",Tyler ICU,54
Malunde (feat. Springle),Shakes & Les,46
"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Mr Pilato,59
Melanin,Mas Musiq,33
"Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)",DJ Maphorisa,61
Mngani Wam,SoulQue,28
Mali,DJ Stokie,30
"Wadibusa (feat. Royal MusiQ, OHP Sage, & Pcee)",Uncle Waffles,2
Selimathunzi,DJ Stokie,45
Moya Wasendulo,MaWhoo,41
Balthazar,Thabiso Lavish,24
"Tshwala Bam (feat. S.N.E, EeQue)",TitoM,57
"Ebasini (feat. Tman Xpress, Visca, Ceeka RSA, Sjavasdadeejay & Al Xapo)",Tyler ICU,55
Amazwe (feat. Mawhoo),Kabza De Small,55
Komasava (Comment Ça Va),Diamond Platnumz,54
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",Tyler ICU,60
BoGogo,Sam Deep,50
Dalie (feat. Baby S.O.N),Kamo Mphela,55
Hade Boss,DJ Lag,38
Isgubhu,Sam Deep,47
Awukhuzeki,DJ Stokie,52
Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),Daliwonga,39
"Maye Maye (feat. Azana, Stixx)",Kelvin Momo,52
iMpumelelo,Sam Deep,40
Xola,Msongi,43
Gangnam Style (feat. DJ Maphorisa & Kabza De Small),Mas Musiq,46
iMpumelelo,Sam Deep,40
